fold,auc,sensitivity,specificity,threshold,best_epoch,ckpt
1,0.9438492319607591,0.8278688524590164,0.9330708661417323,0.8124157190322876,24.0,models/v2_biomedclip_fold1.pt
2,0.9228615384615385,0.808,0.9076923076923077,0.46125781536102295,13.0,models/v2_biomedclip_fold2.pt
3,0.911890243902439,0.7916666666666666,0.8536585365853658,0.02861621603369713,23.0,models/v2_biomedclip_fold3.pt
4,0.8834802213568353,0.7815126050420168,0.8211382113821138,0.04044501855969429,26.0,models/v2_biomedclip_fold4.pt
5,0.9230332471137468,0.859504132231405,0.8740458015267175,0.3543752431869507,22.0,models/v2_biomedclip_fold5.pt
mean,0.9170228965590637,0.813710451279821,0.8779211446656474,,,
sd,0.022030215087213235,0.031035304635568427,0.0440335323203628,,,
