fold,auc,sensitivity,specificity,threshold,best_epoch,ckpt
1,0.9541435394346198,0.8442622950819673,0.9251968503937008,0.8055766224861145,21.0,models/cv_convnext_fold1.pt
2,0.9403538461538462,0.872,0.9038461538461539,0.6015641093254089,26.0,models/cv_convnext_fold2.pt
3,0.922120596205962,0.85,0.8577235772357723,0.015055174008011818,24.0,models/cv_convnext_fold3.pt
4,0.9092710254833641,0.8823529411764706,0.8170731707317073,0.3605560064315796,14.0,models/cv_convnext_fold4.pt
5,0.9263453409879503,0.8099173553719008,0.9236641221374046,0.9165232181549072,19.0,models/cv_convnext_fold5.pt
mean,0.9304468696531485,0.8517065183260677,0.8855007748689477,,,
sd,0.01727893287597088,0.028087770634615372,0.04696456678425881,,,
