image_path,patient_id,dice,iou
data/raw/busbra/Images/bus_0002-l.png,2,0.9186367823175119,0.8495173197132585
data/raw/busbra/Images/bus_0002-r.png,2,0.8883116883165233,0.7990654205763967
data/raw/busbra/Images/bus_0005-l.png,5,0.6661237785070664,0.49938949940172433
data/raw/busbra/Images/bus_0005-r.png,5,0.5617605902612675,0.3905890677624166
data/raw/busbra/Images/bus_0011-l.png,11,0.9496210432467762,0.9040747028903194
data/raw/busbra/Images/bus_0011-r.png,11,0.9221949221970462,0.8556231003112653
data/raw/busbra/Images/bus_0016-l.png,16,0.8457914172947181,0.7327890556104857
data/raw/busbra/Images/bus_0016-r.png,16,0.6781444285082393,0.5130246020377949
data/raw/busbra/Images/bus_0017-s.png,17,0.9669820428660556,0.93607476635753
data/raw/busbra/Images/bus_0028-l.png,28,0.7974714320496603,0.6631621512469406
data/raw/busbra/Images/bus_0028-r.png,28,0.8652952886559324,0.7625730994244612
data/raw/busbra/Images/bus_0031-s.png,31,0.9444959726631951,0.8948293404875143
data/raw/busbra/Images/bus_0036-l.png,36,0.9578010065823113,0.9190193164963217
data/raw/busbra/Images/bus_0036-r.png,36,0.9671641791052316,0.9364161849739254
data/raw/busbra/Images/bus_0037-s.png,37,0.9215336602781646,0.8544853245202776
data/raw/busbra/Images/bus_0042-l.png,42,0.9752540874947497,0.9517033203977641
data/raw/busbra/Images/bus_0042-r.png,42,0.8905022770781433,0.8026174895918784
data/raw/busbra/Images/bus_0047-l.png,47,0.95073235685971,0.9060913705663205
data/raw/busbra/Images/bus_0047-r.png,47,0.9515845070443845,0.9076406381269824
data/raw/busbra/Images/bus_0058-l.png,58,0.8920687634308846,0.8051661817878413
data/raw/busbra/Images/bus_0058-r.png,58,0.9003763121416758,0.8188040345843082
data/raw/busbra/Images/bus_0061-l.png,61,0.9532567049826338,0.9106881405629071
data/raw/busbra/Images/bus_0061-r.png,61,0.7822794396144537,0.642412935345621
data/raw/busbra/Images/bus_0062-l.png,62,0.9492606552631304,0.9034216335567489
data/raw/busbra/Images/bus_0062-r.png,62,0.9577146089667979,0.9188602442355804
data/raw/busbra/Images/bus_0063-s.png,63,0.7243617145310521,0.5678425638239941
data/raw/busbra/Images/bus_0067-l.png,67,0.9202633504042852,0.8523035230419015
data/raw/busbra/Images/bus_0067-r.png,67,0.9024334773731537,0.8222130128544463
data/raw/busbra/Images/bus_0073-l.png,73,0.9648478488983698,0.9320831221495853
data/raw/busbra/Images/bus_0073-r.png,73,0.964939685845852,0.9322545485039636
data/raw/busbra/Images/bus_0074-s.png,74,0.9659426675653624,0.9341287347109071
data/raw/busbra/Images/bus_0075-l.png,75,0.9476270926133062,0.9004670169322689
data/raw/busbra/Images/bus_0075-r.png,75,0.9008189262984382,0.8195364238470352
data/raw/busbra/Images/bus_0079-l.png,79,0.9345957393800013,0.8772217025271606
data/raw/busbra/Images/bus_0079-r.png,79,0.9425287356325126,0.8913043478272625
data/raw/busbra/Images/bus_0082-s.png,82,0.8183908045995988,0.6926070038964873
data/raw/busbra/Images/bus_0083-l.png,83,0.9567003251761647,0.9169947506588912
data/raw/busbra/Images/bus_0083-r.png,83,0.9556118143467407,0.9149967679406917
data/raw/busbra/Images/bus_0089-s.png,89,0.9809825322677478,0.9626748935432229
data/raw/busbra/Images/bus_0109-s.png,109,0.8918191232316754,0.8047595315249843
data/raw/busbra/Images/bus_0114-s.png,114,0.9372813336078996,0.8819656257570468
data/raw/busbra/Images/bus_0120-l.png,120,0.8781153977508325,0.7827145465743935
data/raw/busbra/Images/bus_0120-r.png,120,0.9205419260373291,0.8527815468213853
data/raw/busbra/Images/bus_0125-l.png,125,0.9312726076970973,0.8713846153925302
data/raw/busbra/Images/bus_0125-r.png,125,0.9214549288391432,0.8543499511383822
data/raw/busbra/Images/bus_0130-l.png,130,0.7513600000079564,0.601742696073719
data/raw/busbra/Images/bus_0130-r.png,130,0.8738336714021535,0.7759365994317026
data/raw/busbra/Images/bus_0132-l.png,132,0.9660233212709487,0.9342796033456294
data/raw/busbra/Images/bus_0132-r.png,132,0.9589991781576204,0.9212280701768205
data/raw/busbra/Images/bus_0133-l.png,133,0.8236524163589258,0.7001777602271345
data/raw/busbra/Images/bus_0133-r.png,133,0.9439686811849282,0.8938832252109851
data/raw/busbra/Images/bus_0134-l.png,134,0.9572827672434724,0.918065547563042
data/raw/busbra/Images/bus_0134-r.png,134,0.9165006640113172,0.8458709973977957
data/raw/busbra/Images/bus_0142-l.png,142,0.953855556687849,0.9117818889987969
data/raw/busbra/Images/bus_0142-r.png,142,0.9533987000115303,0.9109473684229275
data/raw/busbra/Images/bus_0145-l.png,145,0.9665350744004462,0.9352374236020775
data/raw/busbra/Images/bus_0145-r.png,145,0.9747611746669728,0.950764983320479
data/raw/busbra/Images/bus_0148-l.png,148,0.7718360071369033,0.6284470246914153
data/raw/busbra/Images/bus_0148-r.png,148,0.8575827559716096,0.7506738544642403
data/raw/busbra/Images/bus_0153-l.png,153,0.8968850698229385,0.8130477118000926
data/raw/busbra/Images/bus_0153-r.png,153,0.9213180901196155,0.8541147132351478
data/raw/busbra/Images/bus_0164-l.png,164,0.9544615925265633,0.9128900341722431
data/raw/busbra/Images/bus_0164-r.png,164,0.9623543672975878,0.9274402907585187
data/raw/busbra/Images/bus_0168-l.png,168,0.662952646247378,0.4958333333508392
data/raw/busbra/Images/bus_0168-r.png,168,0.8725336674014239,0.7738888889014506
data/raw/busbra/Images/bus_0170-l.png,170,0.9376276220536697,0.8825790669249942
data/raw/busbra/Images/bus_0170-r.png,170,0.7472775065746993,0.5965227817826434
data/raw/busbra/Images/bus_0172-l.png,172,0.957354954196511,0.9181983437705878
data/raw/busbra/Images/bus_0172-r.png,172,0.9491078669915947,0.9031448967797966
data/raw/busbra/Images/bus_0178-l.png,178,0.9087779690228581,0.8328075709911035
data/raw/busbra/Images/bus_0178-r.png,178,0.847865303677218,0.7359081419899887
data/raw/busbra/Images/bus_0179-l.png,179,0.48271446866307843,0.31814345997315246
data/raw/busbra/Images/bus_0179-r.png,179,0.8614318706857469,0.7565922921386222
data/raw/busbra/Images/bus_0180-l.png,180,0.9573710214870885,0.9182279039021575
data/raw/busbra/Images/bus_0180-r.png,180,0.9697488235655457,0.9412741725004
data/raw/busbra/Images/bus_0182-l.png,182,0.9492618007907127,0.9034237086898195
data/raw/busbra/Images/bus_0182-r.png,182,0.9410433172143118,0.8886513797145618
data/raw/busbra/Images/bus_0184-l.png,184,0.9542036910489267,0.9124183006650434
data/raw/busbra/Images/bus_0184-r.png,184,0.898734177220531,0.8160919540406041
data/raw/busbra/Images/bus_0186-l.png,186,0.9513639247203282,0.9072393627766235
data/raw/busbra/Images/bus_0186-r.png,186,0.9503498833730365,0.9053968253998287
data/raw/busbra/Images/bus_0194-l.png,194,0.9208315958782342,0.8532788695092373
data/raw/busbra/Images/bus_0194-r.png,194,0.9360280247915062,0.879748758992202
data/raw/busbra/Images/bus_0207-l.png,207,0.9406089462477095,0.8878769958617636
data/raw/busbra/Images/bus_0207-r.png,207,0.9377165180221293,0.8827366083835313
data/raw/busbra/Images/bus_0210-l.png,210,0.8651942117339987,0.7624161073984955
data/raw/busbra/Images/bus_0210-r.png,210,0.866539561493492,0.7645079899272911
data/raw/busbra/Images/bus_0214-l.png,214,0.9200873362462862,0.8520016174746461
data/raw/busbra/Images/bus_0214-r.png,214,0.9313399778535066,0.8715025906802331
data/raw/busbra/Images/bus_0223-l.png,223,0.9287047405757285,0.8668989547069246
data/raw/busbra/Images/bus_0223-r.png,223,0.9373439273559893,0.8820764793872661
data/raw/busbra/Images/bus_0227-l.png,227,0.9496402877702155,0.9041095890426597
data/raw/busbra/Images/bus_0227-r.png,227,0.8635196523813596,0.7598192561737953
data/raw/busbra/Images/bus_0228-l.png,228,0.7576112412248943,0.6098020735339397
data/raw/busbra/Images/bus_0228-r.png,228,0.935930909822536,0.8795771989475433
data/raw/busbra/Images/bus_0230-l.png,230,0.6548257372769831,0.486796213279183
data/raw/busbra/Images/bus_0230-r.png,230,0.9233862859456388,0.8576765035540651
data/raw/busbra/Images/bus_0231-l.png,231,0.9684939248377473,0.9389124777436116
data/raw/busbra/Images/bus_0231-r.png,231,0.9674664182004235,0.9369830049641001
data/raw/busbra/Images/bus_0236-l.png,236,0.7942283563427155,0.6586888657825865
data/raw/busbra/Images/bus_0236-r.png,236,0.8955851436616824,0.8109137055957543
data/raw/busbra/Images/bus_0238-l.png,238,0.9420619986137364,0.8904699494486944
data/raw/busbra/Images/bus_0238-r.png,238,0.9587912087914265,0.9208443271775842
data/raw/busbra/Images/bus_0241-l.png,241,0.924721603565151,0.8599834299975152
data/raw/busbra/Images/bus_0241-r.png,241,0.9453971119145894,0.8964484381730232
data/raw/busbra/Images/bus_0252-l.png,252,0.9460127028943893,0.8975560763341963
data/raw/busbra/Images/bus_0252-r.png,252,0.9557876027559257,0.9153191489397736
data/raw/busbra/Images/bus_0253-l.png,253,0.9243311516830366,0.859308283521364
data/raw/busbra/Images/bus_0253-r.png,253,0.9348589554782502,0.877685598811366
data/raw/busbra/Images/bus_0255-l.png,255,0.9016574585689692,0.820925553337935
data/raw/busbra/Images/bus_0255-r.png,255,0.9160935350814241,0.8451776649942668
data/raw/busbra/Images/bus_0263-l.png,263,0.9321396133394039,0.8729040097236233
data/raw/busbra/Images/bus_0263-r.png,263,0.8908880818761069,0.8032445304390051
data/raw/busbra/Images/bus_0267-l.png,267,0.9256852917522079,0.8616518834251623
data/raw/busbra/Images/bus_0267-r.png,267,0.9306736429042366,0.8703363914386306
data/raw/busbra/Images/bus_0272-l.png,272,0.8937644341804174,0.8079331941553999
data/raw/busbra/Images/bus_0272-r.png,272,0.878580900197957,0.7834545535684108
data/raw/busbra/Images/bus_0284-l.png,284,0.9545222279001787,0.9130009775183214
data/raw/busbra/Images/bus_0284-r.png,284,0.9171731617218785,0.8470173893936381
data/raw/busbra/Images/bus_0303-l.png,303,0.4898021216465856,0.3243297641118898
data/raw/busbra/Images/bus_0303-r.png,303,0.1163193744745624,0.061751112636675154
data/raw/busbra/Images/bus_0305-l.png,305,0.8890612878286221,0.8002793296368325
data/raw/busbra/Images/bus_0305-r.png,305,0.8003442340963558,0.6671449067909405
data/raw/busbra/Images/bus_0311-l.png,311,0.8629707113006545,0.7589696412254384
data/raw/busbra/Images/bus_0311-r.png,311,0.8972696916146676,0.8136800855071721
data/raw/busbra/Images/bus_0319-l.png,319,0.9124380137224887,0.838975640226871
data/raw/busbra/Images/bus_0319-r.png,319,0.902934999744389,0.8230460360461009
data/raw/busbra/Images/bus_0321-s.png,321,0.8893095546483546,0.8006817366361618
data/raw/busbra/Images/bus_0322-s.png,322,0.9121574139204387,0.8385012920105296
data/raw/busbra/Images/bus_0328-l.png,328,0.9648432844718764,0.9320746028106821
data/raw/busbra/Images/bus_0328-r.png,328,0.9377427032451742,0.8827830188706891
data/raw/busbra/Images/bus_0329-l.png,329,0.9650621118015135,0.9324831207812081
data/raw/busbra/Images/bus_0329-r.png,329,0.9256907701356515,0.8616613768210389
data/raw/busbra/Images/bus_0332-l.png,332,0.9492250133645523,0.9033570702031173
data/raw/busbra/Images/bus_0332-r.png,332,0.9394473838953882,0.8858093126512406
data/raw/busbra/Images/bus_0335-l.png,335,0.9583573210524207,0.9200442151834913
data/raw/busbra/Images/bus_0335-r.png,335,0.9254193548406343,0.8611911623505673
data/raw/busbra/Images/bus_0342-l.png,342,0.8199553414042781,0.6948511104502055
data/raw/busbra/Images/bus_0342-r.png,342,0.8134437408679326,0.685550082104388
data/raw/busbra/Images/bus_0349-l.png,349,0.9435578045954239,0.8931466470233496
data/raw/busbra/Images/bus_0349-r.png,349,0.9096011224712447,0.8341911764766842
data/raw/busbra/Images/bus_0351-l.png,351,0.9376053962906695,0.882539682541876
data/raw/busbra/Images/bus_0351-r.png,351,0.9659850760735925,0.934208059982489
data/raw/busbra/Images/bus_0356-l.png,356,0.8362018669790242,0.7185110916190185
data/raw/busbra/Images/bus_0356-r.png,356,0.7863551855162367,0.6479285999780481
data/raw/busbra/Images/bus_0357-l.png,357,0.9405815423519547,0.8878281622929542
data/raw/busbra/Images/bus_0357-r.png,357,0.9423622047248633,0.8910065515203841
data/raw/busbra/Images/bus_0361-l.png,361,0.9294823705952933,0.8682550805978798
data/raw/busbra/Images/bus_0361-r.png,361,0.9098671726797977,0.8346388163764457
data/raw/busbra/Images/bus_0362-l.png,362,0.9743629704669652,0.9500075976302992
data/raw/busbra/Images/bus_0362-r.png,362,0.9548421473294603,0.9135865409136683
data/raw/busbra/Images/bus_0364-l.png,364,0.8737083811716254,0.7757390417958462
data/raw/busbra/Images/bus_0364-r.png,364,0.892269395658082,0.8054931335846401
