fold,auc,sensitivity,specificity,threshold,best_epoch,ckpt
1,0.9525622821737446,0.9180327868852459,0.8858267716535433,0.12052319198846817,29.0,models/cv_vit_fold1.pt
2,0.9411384615384615,0.872,0.9384615384615385,0.6816015243530273,10.0,models/cv_vit_fold2.pt
3,0.9192920054200542,0.8833333333333333,0.8130081300813008,0.03750555217266083,18.0,models/cv_vit_fold3.pt
4,0.9131994261119081,0.8487394957983193,0.8536585365853658,0.13406303524971008,16.0,models/cv_vit_fold4.pt
5,0.9271970222698883,0.8842975206611571,0.8473282442748091,0.12632228434085846,19.0,models/cv_vit_fold5.pt
mean,0.9306778395028112,0.8812806273356111,0.8676566442113115,,,
sd,0.016090382884059107,0.02504541756630562,0.04727350616031324,,,
