cohort,method,k,sens_median,sens_p2.5,sens_p97.5,spec_median,spec_p2.5,spec_p97.5,recovery_median,recovery_p2.5,recovery_p97.5,frac_degenerate,frac_fit_failed
breast,M1,10,0.8297872340425532,0.24989690721649485,1.0,0.7635135135135135,0.0,0.9694699440820129,1.6363636363636362,-1.9048135080645163,2.6934952978056423,0.008,0.0
breast,M1,20,0.8971394984326019,0.6022085777126099,1.0,0.6388888888888888,0.0,0.8947540135920418,1.096774193548387,-1.9672311827956988,2.3050691244239623,0.0,0.0
breast,M1,30,0.8698179271708684,0.6043813387423935,0.989010989010989,0.6985294117647058,0.007518796992481203,0.8865037593984961,1.3559907834101383,-1.890972222222222,2.254861111111111,0.0,0.0
breast,M1,50,0.8947368421052632,0.698055907507127,1.0,0.64,0.18494410569105693,0.8530887644942022,1.0740740740740742,-1.112895256916996,2.123285953177257,0.0,0.0
breast,M1,100,0.896551724137931,0.7480410447761194,0.9841269841269841,0.6363636363636364,0.27956989247311825,0.8137260536398466,1.0,-0.6190476190476191,1.942892156862745,0.0,0.0
breast,M2a,10,0.9157894736842105,0.8404255319148937,1.0,0.4276029385089788,0.0,0.7181208053691275,0.0909090909090909,-1.9533770161290325,1.4531524926686217,0.008,0.122
breast,M2a,20,0.9222222222222223,0.8658801498127341,1.0,0.44998979383547666,0.006967511655011655,0.695831499144045,0.19052419354838707,-1.870967741935484,1.3843749999999992,0.0,0.018
breast,M2a,30,0.9195402298850575,0.8654939709509455,0.9883720930232558,0.44776119402985076,0.12126245847176083,0.6519976949673453,0.1724137931034483,-1.302354838709677,1.1791187739463596,0.0,0.01
breast,M2a,50,0.9230769230769231,0.8834038054968287,0.9872646867900032,0.4214876033057851,0.21996670081967212,0.6235016393442623,0.10000000000000005,-0.9385416666666666,1.0194444444444435,0.0,0.0
breast,M2a,100,0.9230769230769231,0.8790360501567398,0.9836065573770492,0.42391304347826086,0.28177419354838706,0.5757575757575758,0.10263157894736843,-0.6486029411764708,0.9090909090909093,0.0,0.0
