fold,auc,sensitivity,specificity,threshold,best_epoch,ckpt
1,0.9558216083645281,0.8852459016393442,0.8976377952755905,0.44425708055496216,15.0,models/cv_vit_cdrop_fold1.pt
2,0.9427384615384616,0.864,0.8846153846153846,0.42557984590530396,11.0,models/cv_vit_cdrop_fold2.pt
3,0.9297425474254742,0.8583333333333333,0.8739837398373984,0.04616843909025192,29.0,models/cv_vit_cdrop_fold3.pt
4,0.9021315843410534,0.8403361344537815,0.8130081300813008,0.04671178385615349,25.0,models/cv_vit_cdrop_fold4.pt
5,0.9342628225348558,0.8181818181818182,0.9007633587786259,0.8259971141815186,5.0,models/cv_vit_cdrop_fold5.pt
mean,0.9329394048408748,0.8532194375216555,0.8740016817176599,,,
sd,0.0198790711926939,0.02530652647315421,0.035734148848014645,,,
