data,n,threshold_routine,threshold_exhaustive,tp_fp_fn_tn_routine,tp_fp_fn_tn_exhaustive,sens_routine,sens_exhaustive,spec_routine,spec_exhaustive,images_differing
internal pooled OOF,1875,0.26832120350764344,0.26878165315822555,548/290/59/978,547/290/60/978,0.9028006589785832,0.9011532125205931,0.7712933753943217,0.7712933753943217,1
BrEaST full-cohort oracle,252,0.37553424,0.3798318,90/58/8/96,89/58/9/96,0.9183673469387755,0.9081632653061225,0.6233766233766234,0.6233766233766234,1
BUSI (clean) full-cohort oracle,379,0.3850789,0.3850789,147/39/16/177,147/39/16/177,0.901840490797546,0.901840490797546,0.8194444444444444,0.8194444444444444,0
GDPH full-cohort oracle,810,0.44840077,0.44840077,338/98/37/337,338/98/37/337,0.9013333333333333,0.9013333333333333,0.774712643678161,0.774712643678161,0
SYSUCC full-cohort oracle,1013,0.33136466,0.33504036,656/125/68/164,652/125/72/164,0.9060773480662984,0.9005524861878453,0.5674740484429066,0.5674740484429066,4
