cohort,reader,n_benign,n_model_fp,n_model_tn,reader_ge4a_among_model_fp,reader_ge4a_among_model_tn,reader_ge4a_all_benign,n_fp_and_reader_ge4a,n_fp_and_reader_lt4a,n_tn_and_reader_ge4a,n_tn_and_reader_lt4a
gdph,BIRADS-reader1,435,238,197,0.14285714285714285,0.06091370558375635,0.10574712643678161,34,204,12,185
gdph,BIRADS-reader2,435,238,197,0.6386554621848739,0.30456852791878175,0.48735632183908045,152,86,60,137
sysucc,BIRADS-reader1,289,152,137,0.5328947368421053,0.145985401459854,0.3494809688581315,81,71,20,117
sysucc,BIRADS-reader2,289,152,137,0.9407894736842105,0.7883211678832117,0.8685121107266436,143,9,108,29
