fold,n,auc_plain,auc_tta,sens_plain,sens_tta,spec_plain,spec_tta,ckpt
1,376,0.9525622821737446,0.9571124306183039,0.9180327868852459,0.8770491803278688,0.8858267716535433,0.9133858267716536,models/cv_vit_fold1.pt
2,385,0.9411384615384615,0.9397230769230769,0.872,0.864,0.9384615384615385,0.9307692307692308,models/cv_vit_fold2.pt
3,366,0.9192920054200542,0.9237804878048781,0.8833333333333333,0.825,0.8130081300813008,0.8739837398373984,models/cv_vit_fold3.pt
4,365,0.9131994261119081,0.9174011067841771,0.8487394957983193,0.8487394957983193,0.8536585365853658,0.8780487804878049,models/cv_vit_fold4.pt
5,383,0.9271970222698883,0.9234433158791243,0.8842975206611571,0.8677685950413223,0.8473282442748091,0.8778625954198473,models/cv_vit_fold5.pt
