fold,auc,sensitivity,specificity,threshold,best_epoch,ckpt
1,0.9387504840583452,0.8442622950819673,0.8740157480314961,0.36472201347351074,24.0,models/cv_effb0_fold1.pt
2,0.8711076923076922,0.776,0.8384615384615385,0.24366459250450134,18.0,models/cv_effb0_fold2.pt
3,0.8817073170731707,0.7083333333333334,0.8943089430894309,0.40306010842323303,17.0,models/cv_effb0_fold3.pt
4,0.8839413814306211,0.8487394957983193,0.7723577235772358,0.0429629422724247,20.0,models/cv_effb0_fold4.pt
5,0.8794240111034004,0.6694214876033058,0.9427480916030534,0.8981346487998962,19.0,models/cv_effb0_fold5.pt
mean,0.890986177194646,0.7693513223633852,0.8643784089525509,,,
sd,0.027138502394212657,0.08010541131806148,0.06377698066303512,,,
