fold,n_epochs,best_epoch,auc_best_epoch,auc_final_epoch,fixed_epoch,auc_fixed_epoch,optimism_best_minus_fixed,optimism_best_minus_final
1,30,29,0.9525622821737446,0.952336388279334,18,0.9419452691364397,0.01061701303730489,0.00022589389441063368
2,30,10,0.9411384615384615,0.9306307692307693,18,0.9283384615384616,0.012799999999999923,0.010507692307692218
3,30,18,0.9192920054200542,0.912940379403794,18,0.9192920054200542,0.0,0.006351626016260159
4,30,16,0.9131994261119081,0.9097834255653481,18,0.9011751041880168,0.012024321923891246,0.003416000546559994
5,30,19,0.9271970222698883,0.9119613904485522,18,0.9069459340104726,0.020251088259415684,0.015235631821336137
