source,target,in_sample,src_threshold_M1,src_temperature_M2,sens_M1,spec_M1,sens_M2,spec_M2
internal,breast,False,0.26832120350764344,2.364384651184082,0.9183673469387755,0.4090909090909091,0.9183673469387755,0.4090909090909091
internal,busi,False,0.26832120350764344,2.364384651184082,0.9570552147239264,0.6296296296296297,0.9570552147239264,0.6296296296296297
internal,gdph,False,0.26832120350764344,2.364384651184082,0.9706666666666667,0.4528735632183908,0.9706666666666667,0.4528735632183908
internal,sysucc,False,0.26832120350764344,2.364384651184082,0.930939226519337,0.4740484429065744,0.930939226519337,0.4740484429065744
breast,breast,True,0.37553425076882546,2.2717347145080566,0.9183673469387755,0.6233766233766234,0.9183673469387755,0.43506493506493504
breast,busi,False,0.37553425076882546,2.2717347145080566,0.901840490797546,0.8009259259259259,0.950920245398773,0.6481481481481481
breast,gdph,False,0.37553425076882546,2.2717347145080566,0.9333333333333333,0.6758620689655173,0.968,0.4666666666666667
breast,sysucc,False,0.37553425076882546,2.2717347145080566,0.8743093922651933,0.6262975778546713,0.9267955801104972,0.4844290657439446
busi,breast,False,0.3850788807739495,1.5803500413894653,0.8979591836734694,0.6233766233766234,0.9183673469387755,0.5714285714285714
busi,busi,True,0.3850788807739495,1.5803500413894653,0.901840490797546,0.8194444444444444,0.9263803680981595,0.7453703703703703
busi,gdph,False,0.3850788807739495,1.5803500413894653,0.9333333333333333,0.6873563218390805,0.952,0.5954022988505747
busi,sysucc,False,0.3850788807739495,1.5803500413894653,0.8687845303867403,0.6401384083044983,0.8977900552486188,0.5674740484429066
gdph,breast,False,0.4484007610241994,1.3778190612792969,0.8571428571428571,0.7142857142857143,0.9183673469387755,0.6168831168831169
gdph,busi,False,0.4484007610241994,1.3778190612792969,0.8650306748466258,0.8888888888888888,0.9079754601226994,0.7777777777777778
gdph,gdph,True,0.4484007610241994,1.3778190612792969,0.9013333333333333,0.774712643678161,0.9413333333333334,0.6482758620689655
gdph,sysucc,False,0.4484007610241994,1.3778190612792969,0.7997237569060773,0.7197231833910035,0.888121546961326,0.5916955017301038
sysucc,breast,False,0.3313646576253697,2.2253355979919434,0.9183673469387755,0.5584415584415584,0.9183673469387755,0.43506493506493504
sysucc,busi,False,0.3313646576253697,2.2253355979919434,0.9263803680981595,0.7361111111111112,0.9447852760736196,0.6574074074074074
sysucc,gdph,False,0.3313646576253697,2.2253355979919434,0.952,0.5862068965517241,0.968,0.4735632183908046
sysucc,sysucc,True,0.3313646576253697,2.2253355979919434,0.9060773480662984,0.5674740484429066,0.9267955801104972,0.49480968858131485
