hold_out,n,bootstrap,loco_auc,loco_auc_lo,loco_auc_hi,loco_sens,loco_spec,loco_benign_median,loco_threshold,loco_temperature,v1single_auc,v1single_auc_lo,v1single_auc_hi,v1single_sens,v1single_spec,v1single_benign_median,delta_auc,delta_spec
breast,252,patient-level,0.8656904320169627,0.816694101268826,0.9096858750184827,0.8571428571428571,0.7532467532467533,0.22304590046405792,0.47379565238952637,1.221592903137207,0.8466737344288365,0.79414172783738,0.8951196371186902,0.9387755102040817,0.474025974025974,0.2789107659988168,0.019016697588126186,0.27922077922077926
busi,379,image-level,0.9371449670529426,0.9115192669172932,0.9588482637882214,0.8466257668711656,0.8796296296296297,0.05122581124305725,0.4115960896015167,2.4799695014953613,0.9068961599636446,0.8727067981325427,0.9371238124765207,0.9386503067484663,0.6064814814814815,0.15011859501433192,0.030248807089298002,0.27314814814814814
gdph,810,image-level,0.9454467432950191,0.9301992456907051,0.960118213208242,0.96,0.7126436781609196,0.2782694101333618,0.5409913659095764,0.9544717073440552,0.8898881226053641,0.8668043485590806,0.9127611369711834,0.952,0.4114942528735632,0.33930667066288817,0.055558620689655,0.30114942528735633
